Qualification,Subject,Year,n,pc,Number of entries,Grade threshold
National 5 (SCQF level 5),English for Speakers of Other Languages,2021,622,0.677,919,B & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2021,826,0.899,919,C & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2021,887,0.965,919,D & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2021,32,0.035,919,U
National 5 (SCQF level 5),Environmental Science,2021,113,0.33899999999999997,333,A
National 5 (SCQF level 5),Environmental Science,2021,181,0.544,333,B & above
National 5 (SCQF level 5),Environmental Science,2021,274,0.823,333,C & above
National 5 (SCQF level 5),Environmental Science,2021,322,0.9670000000000001,333,D & above
National 5 (SCQF level 5),Environmental Science,2021,11,0.033,333,U
National 5 (SCQF level 5),Fashion and Textile Technology,2021,241,0.474,508,A
National 5 (SCQF level 5),Fashion and Textile Technology,2021,374,0.736,508,B & above
National 5 (SCQF level 5),Fashion and Textile Technology,2021,462,0.909,508,C & above
National 5 (SCQF level 5),Fashion and Textile Technology,2021,497,0.978,508,D & above
National 5 (SCQF level 5),Fashion and Textile Technology,2021,11,0.022000000000000002,508,U
National 5 (SCQF level 5),French,2021,4277,0.601,"7,115",A
National 5 (SCQF level 5),French,2021,5473,0.769,"7,115",B & above
National 5 (SCQF level 5),French,2021,6505,0.914,"7,115",C & above
National 5 (SCQF level 5),French,2021,6928,0.9740000000000001,"7,115",D & above
National 5 (SCQF level 5),French,2021,187,0.026000000000000002,"7,115",U
National 5 (SCQF level 5),Gaelic (Learners),2021,88,0.547,161,A
National 5 (SCQF level 5),Gaelic (Learners),2021,125,0.7759999999999999,161,B & above
National 5 (SCQF level 5),Gaelic (Learners),2021,142,0.882,161,C & above
National 5 (SCQF level 5),Gaelic (Learners),2021,156,0.9690000000000001,161,D & above
National 5 (SCQF level 5),Gaelic (Learners),2021,5,0.031,161,U
National 5 (SCQF level 5),Gàidhlig,2021,133,0.693,192,A
National 5 (SCQF level 5),Gàidhlig,2021,173,0.9009999999999999,192,B & above
National 5 (SCQF level 5),Gàidhlig,2021,191,0.995,192,C & above
National 5 (SCQF level 5),Gàidhlig,2021,192,1,192,D & above
National 5 (SCQF level 5),Gàidhlig,2021,0,0,192,U
National 5 (SCQF level 5),Geography,2021,5301,0.526,"10,069",A
National 5 (SCQF level 5),Geography,2021,7252,0.72,"10,069",B & above
National 5 (SCQF level 5),Geography,2021,8925,0.8859999999999999,"10,069",C & above
National 5 (SCQF level 5),Geography,2021,9762,0.97,"10,069",D & above
National 5 (SCQF level 5),Geography,2021,307,0.03,"10,069",U
National 5 (SCQF level 5),German,2021,831,0.584,"1,422",A
National 5 (SCQF level 5),German,2021,1101,0.774,"1,422",B & above
National 5 (SCQF level 5),German,2021,1296,0.9109999999999999,"1,422",C & above
National 5 (SCQF level 5),German,2021,1392,0.9790000000000001,"1,422",D & above
National 5 (SCQF level 5),German,2021,30,0.021,"1,422",U
National 5 (SCQF level 5),Graphic Communication,2021,1972,0.39299999999999996,"5,019",A
National 5 (SCQF level 5),Graphic Communication,2021,3143,0.626,"5,019",B & above
National 5 (SCQF level 5),Graphic Communication,2021,4364,0.8690000000000001,"5,019",C & above
National 5 (SCQF level 5),Graphic Communication,2021,4794,0.955,"5,019",D & above
National 5 (SCQF level 5),Graphic Communication,2021,225,0.045,"5,019",U
National 5 (SCQF level 5),Health and Food Technology,2021,584,0.344,"1,699",A
National 5 (SCQF level 5),Health and Food Technology,2021,1031,0.607,"1,699",B & above
National 5 (SCQF level 5),Health and Food Technology,2021,1445,0.851,"1,699",C & above
National 5 (SCQF level 5),Health and Food Technology,2021,1611,0.948,"1,699",D & above
National 5 (SCQF level 5),Health and Food Technology,2021,88,0.052000000000000005,"1,699",U
National 5 (SCQF level 5),History,2021,8284,0.542,"15,281",A
National 5 (SCQF level 5),History,2021,10913,0.7140000000000001,"15,281",B & above
National 5 (SCQF level 5),History,2021,13374,0.875,"15,281",C & above
National 5 (SCQF level 5),History,2021,14584,0.9540000000000001,"15,281",D & above
National 5 (SCQF level 5),History,2021,697,0.046,"15,281",U
National 5 (SCQF level 5),Italian,2021,69,0.605,114,A
National 5 (SCQF level 5),Italian,2021,88,0.772,114,B & above
National 5 (SCQF level 5),Italian,2021,104,0.912,114,C & above
National 5 (SCQF level 5),Italian,2021,110,0.965,114,D & above
National 5 (SCQF level 5),Italian,2021,4,0.035,114,U
National 5 (SCQF level 5),Latin,2021,341,0.955,357,A
National 5 (SCQF level 5),Latin,2021,349,0.978,357,B & above
National 5 (SCQF level 5),Latin,2021,355,0.9940000000000001,357,C & above
National 5 (SCQF level 5),Latin,2021,357,1,357,D & above
National 5 (SCQF level 5),Latin,2021,0,0,357,U
National 5 (SCQF level 5),Mathematics,2021,13810,0.379,"36,481",A
National 5 (SCQF level 5),Mathematics,2021,19775,0.542,"36,481",B & above
National 5 (SCQF level 5),Mathematics,2021,26633,0.73,"36,481",C & above
National 5 (SCQF level 5),Mathematics,2021,30679,0.841,"36,481",D & above
National 5 (SCQF level 5),Mathematics,2021,5802,0.159,"36,481",U
National 5 (SCQF level 5),Media,2021,451,0.449,"1,005",A
National 5 (SCQF level 5),Media,2021,636,0.633,"1,005",B & above
National 5 (SCQF level 5),Media,2021,841,0.8370000000000001,"1,005",C & above
National 5 (SCQF level 5),Media,2021,921,0.9159999999999999,"1,005",D & above
National 5 (SCQF level 5),Media,2021,84,0.084,"1,005",U
National 5 (SCQF level 5),Modern Studies,2021,7117,0.55,"12,948",A
National 5 (SCQF level 5),Modern Studies,2021,9505,0.7340000000000001,"12,948",B & above
National 5 (SCQF level 5),Modern Studies,2021,11625,0.898,"12,948",C & above
National 5 (SCQF level 5),Modern Studies,2021,12509,0.966,"12,948",D & above
National 5 (SCQF level 5),Modern Studies,2021,439,0.034,"12,948",U
National 5 (SCQF level 5),Music,2021,5552,0.669,"8,296",A
National 5 (SCQF level 5),Music,2021,7143,0.861,"8,296",B & above
National 5 (SCQF level 5),Music,2021,8058,0.971,"8,296",C & above
National 5 (SCQF level 5),Music,2021,8218,0.991,"8,296",D & above
National 5 (SCQF level 5),Music,2021,78,0.009000000000000001,"8,296",U
National 5 (SCQF level 5),Music Technology,2021,706,0.494,"1,428",A
National 5 (SCQF level 5),Music Technology,2021,1046,0.732,"1,428",B & above
National 5 (SCQF level 5),Music Technology,2021,1340,0.938,"1,428",C & above
National 5 (SCQF level 5),Music Technology,2021,1399,0.98,"1,428",D & above
National 5 (SCQF level 5),Music Technology,2021,29,0.02,"1,428",U
National 5 (SCQF level 5),Philosophy,2021,140,0.45899999999999996,305,A
National 5 (SCQF level 5),Philosophy,2021,190,0.623,305,B & above
National 5 (SCQF level 5),Philosophy,2021,247,0.81,305,C & above
National 5 (SCQF level 5),Philosophy,2021,275,0.902,305,D & above
National 5 (SCQF level 5),Philosophy,2021,30,0.098,305,U
National 5 (SCQF level 5),Physical Education,2021,11463,0.624,"18,366",A
National 5 (SCQF level 5),Physical Education,2021,15558,0.847,"18,366",B & above
National 5 (SCQF level 5),Physical Education,2021,17842,0.971,"18,366",C & above
National 5 (SCQF level 5),Physical Education,2021,18268,0.995,"18,366",D & above
National 5 (SCQF level 5),Physical Education,2021,98,0.005,"18,366",U
National 5 (SCQF level 5),Physics,2021,5634,0.434,"12,977",A
National 5 (SCQF level 5),Physics,2021,8209,0.633,"12,977",B & above
National 5 (SCQF level 5),Physics,2021,10556,0.813,"12,977",C & above
National 5 (SCQF level 5),Physics,2021,11961,0.922,"12,977",D & above
National 5 (SCQF level 5),Physics,2021,1016,0.078,"12,977",U
National 5 (SCQF level 5),Practical Cake Craft,2021,501,0.41700000000000004,"1,202",A
National 5 (SCQF level 5),Practical Cake Craft,2021,852,0.7090000000000001,"1,202",B & above
National 5 (SCQF level 5),Practical Cake Craft,2021,1112,0.925,"1,202",C & above
National 5 (SCQF level 5),Practical Cake Craft,2021,1179,0.981,"1,202",D & above
National 5 (SCQF level 5),Practical Cake Craft,2021,23,0.019,"1,202",U
National 5 (SCQF level 5),Practical Cookery,2021,2553,0.405,"6,304",A
National 5 (SCQF level 5),Practical Cookery,2021,4529,0.718,"6,304",B & above
National 5 (SCQF level 5),Practical Cookery,2021,5838,0.9259999999999999,"6,304",C & above
National 5 (SCQF level 5),Practical Cookery,2021,6192,0.982,"6,304",D & above
National 5 (SCQF level 5),Practical Cookery,2021,112,0.018000000000000002,"6,304",U
National 5 (SCQF level 5),Practical Electronics,2021,188,0.35700000000000004,527,A
National 5 (SCQF level 5),Practical Electronics,2021,301,0.5710000000000001,527,B & above
National 5 (SCQF level 5),Practical Electronics,2021,454,0.861,527,C & above
National 5 (SCQF level 5),Practical Electronics,2021,491,0.932,527,D & above
National 5 (SCQF level 5),Practical Electronics,2021,36,0.068,527,U
National 5 (SCQF level 5),Practical Metalworking,2021,582,0.374,"1,557",A
National 5 (SCQF level 5),Practical Metalworking,2021,1009,0.648,"1,557",B & above
National 5 (SCQF level 5),Practical Metalworking,2021,1354,0.87,"1,557",C & above
National 5 (SCQF level 5),Practical Metalworking,2021,1466,0.9420000000000001,"1,557",D & above
National 5 (SCQF level 5),Practical Metalworking,2021,91,0.057999999999999996,"1,557",U
National 5 (SCQF level 5),Practical Woodworking,2021,2868,0.42700000000000005,"6,710",A
National 5 (SCQF level 5),Practical Woodworking,2021,4696,0.7,"6,710",B & above
National 5 (SCQF level 5),Practical Woodworking,2021,6170,0.92,"6,710",C & above
National 5 (SCQF level 5),Practical Woodworking,2021,6546,0.976,"6,710",D & above
National 5 (SCQF level 5),Practical Woodworking,2021,164,0.024,"6,710",U
National 5 (SCQF level 5),Psychology,2021,489,0.504,970,A
National 5 (SCQF level 5),Psychology,2021,693,0.7140000000000001,970,B & above
National 5 (SCQF level 5),Psychology,2021,824,0.8490000000000001,970,C & above
National 5 (SCQF level 5),Psychology,2021,887,0.914,970,D & above
National 5 (SCQF level 5),Psychology,2021,83,0.086,970,U
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2021,1249,0.517,"2,416",A
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2021,1671,0.6920000000000001,"2,416",B & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2021,2097,0.868,"2,416",C & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2021,2295,0.95,"2,416",D & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2021,121,0.05,"2,416",U
National 5 (SCQF level 5),Sociology,2021,122,0.45,271,A
National 5 (SCQF level 5),Sociology,2021,181,0.6679999999999999,271,B & above
National 5 (SCQF level 5),Sociology,2021,229,0.845,271,C & above
National 5 (SCQF level 5),Sociology,2021,257,0.948,271,D & above
National 5 (SCQF level 5),Sociology,2021,14,0.052000000000000005,271,U
National 5 (SCQF level 5),Spanish,2021,3200,0.59,"5,424",A
National 5 (SCQF level 5),Spanish,2021,4181,0.7709999999999999,"5,424",B & above
National 5 (SCQF level 5),Spanish,2021,4971,0.9159999999999999,"5,424",C & above
National 5 (SCQF level 5),Spanish,2021,5295,0.976,"5,424",D & above
National 5 (SCQF level 5),Spanish,2021,129,0.024,"5,424",U
National 5 (SCQF level 5),All subjects,2021,139133,0.467,"297,973",A
National 5 (SCQF level 5),All subjects,2021,200837,0.674,"297,973",B & above
National 5 (SCQF level 5),All subjects,2021,255517,0.858,"297,973",C & above
National 5 (SCQF level 5),All subjects,2021,280203,0.94,"297,973",D & above
National 5 (SCQF level 5),All subjects,2021,17770,0.06,"297,973",U
National 5 (SCQF level 5),Accounting,2020,516,0.568,908,A
National 5 (SCQF level 5),Accounting,2020,707,0.779,908,B & above
National 5 (SCQF level 5),Accounting,2020,830,0.914,908,C & above
National 5 (SCQF level 5),Accounting,2020,880,0.9690000000000001,908,D & above
National 5 (SCQF level 5),Accounting,2020,28,0.031,908,U
National 5 (SCQF level 5),Administration and IT,2020,2001,0.386,"5,188",A
National 5 (SCQF level 5),Administration and IT,2020,3530,0.68,"5,188",B & above
National 5 (SCQF level 5),Administration and IT,2020,4784,0.922,"5,188",C & above
National 5 (SCQF level 5),Administration and IT,2020,5090,0.981,"5,188",D & above
National 5 (SCQF level 5),Administration and IT,2020,98,0.019,"5,188",U
National 5 (SCQF level 5),Applications of Mathematics,2020,3018,0.289,"10,430",A
National 5 (SCQF level 5),Applications of Mathematics,2020,5082,0.48700000000000004,"10,430",B & above
National 5 (SCQF level 5),Applications of Mathematics,2020,7851,0.753,"10,430",C & above
National 5 (SCQF level 5),Applications of Mathematics,2020,9144,0.877,"10,430",D & above
National 5 (SCQF level 5),Applications of Mathematics,2020,1286,0.12300000000000001,"10,430",U
National 5 (SCQF level 5),Art and Design,2020,4568,0.461,"9,917",A
National 5 (SCQF level 5),Art and Design,2020,7615,0.768,"9,917",B & above
National 5 (SCQF level 5),Art and Design,2020,9556,0.9640000000000001,"9,917",C & above
National 5 (SCQF level 5),Art and Design,2020,9816,0.99,"9,917",D & above
National 5 (SCQF level 5),Art and Design,2020,101,0.01,"9,917",U
National 5 (SCQF level 5),Biology,2020,7688,0.353,"21,786",A
National 5 (SCQF level 5),Biology,2020,12721,0.584,"21,786",B & above
National 5 (SCQF level 5),Biology,2020,18162,0.8340000000000001,"21,786",C & above
National 5 (SCQF level 5),Biology,2020,20653,0.948,"21,786",D & above
National 5 (SCQF level 5),Biology,2020,1133,0.052000000000000005,"21,786",U
National 5 (SCQF level 5),Business Management,2020,3042,0.387,"7,856",A
National 5 (SCQF level 5),Business Management,2020,5081,0.647,"7,856",B & above
National 5 (SCQF level 5),Business Management,2020,7037,0.8959999999999999,"7,856",C & above
National 5 (SCQF level 5),Business Management,2020,7629,0.971,"7,856",D & above
National 5 (SCQF level 5),Business Management,2020,227,0.028999999999999998,"7,856",U
National 5 (SCQF level 5),Care,2020,170,0.348,488,A
National 5 (SCQF level 5),Care,2020,298,0.611,488,B & above
National 5 (SCQF level 5),Care,2020,399,0.818,488,C & above
National 5 (SCQF level 5),Care,2020,437,0.895,488,D & above
National 5 (SCQF level 5),Care,2020,51,0.105,488,U
National 5 (SCQF level 5),Chemistry,2020,6939,0.43200000000000005,"16,081",A
National 5 (SCQF level 5),Chemistry,2020,10657,0.6629999999999999,"16,081",B & above
National 5 (SCQF level 5),Chemistry,2020,14179,0.882,"16,081",C & above
National 5 (SCQF level 5),Chemistry,2020,15593,0.97,"16,081",D & above
National 5 (SCQF level 5),Chemistry,2020,488,0.03,"16,081",U
National 5 (SCQF level 5),Chinese Languages,2020,196,0.76,258,A
National 5 (SCQF level 5),Chinese Languages,2020,231,0.895,258,B & above
National 5 (SCQF level 5),Chinese Languages,2020,252,0.977,258,C & above
National 5 (SCQF level 5),Chinese Languages,2020,257,0.996,258,D & above
National 5 (SCQF level 5),Chinese Languages,2020,1,0.004,258,U
National 5 (SCQF level 5),Computing Science,2020,2543,0.409,"6,216",A
National 5 (SCQF level 5),Computing Science,2020,4133,0.665,"6,216",B & above
National 5 (SCQF level 5),Computing Science,2020,5597,0.9,"6,216",C & above
National 5 (SCQF level 5),Computing Science,2020,6012,0.9670000000000001,"6,216",D & above
National 5 (SCQF level 5),Computing Science,2020,204,0.033,"6,216",U
National 5 (SCQF level 5),Dance,2020,483,0.5579999999999999,865,A
National 5 (SCQF level 5),Dance,2020,693,0.8009999999999999,865,B & above
National 5 (SCQF level 5),Dance,2020,828,0.9570000000000001,865,C & above
National 5 (SCQF level 5),Dance,2020,856,0.99,865,D & above
National 5 (SCQF level 5),Dance,2020,9,0.01,865,U
National 5 (SCQF level 5),Design and Manufacture,2020,1317,0.28600000000000003,"4,599",A
National 5 (SCQF level 5),Design and Manufacture,2020,2724,0.5920000000000001,"4,599",B & above
National 5 (SCQF level 5),Design and Manufacture,2020,4167,0.9059999999999999,"4,599",C & above
National 5 (SCQF level 5),Design and Manufacture,2020,4519,0.983,"4,599",D & above
National 5 (SCQF level 5),Design and Manufacture,2020,80,0.017,"4,599",U
National 5 (SCQF level 5),Drama,2020,3076,0.602,"5,106",A
National 5 (SCQF level 5),Drama,2020,4276,0.8370000000000001,"5,106",B & above
National 5 (SCQF level 5),Drama,2020,4967,0.973,"5,106",C & above
National 5 (SCQF level 5),Drama,2020,5063,0.992,"5,106",D & above
National 5 (SCQF level 5),Drama,2020,43,0.008,"5,106",U
National 5 (SCQF level 5),Economics,2020,223,0.722,309,A
National 5 (SCQF level 5),Economics,2020,282,0.9129999999999999,309,B & above
National 5 (SCQF level 5),Economics,2020,304,0.9840000000000001,309,C & above
National 5 (SCQF level 5),Economics,2020,308,0.997,309,D & above
National 5 (SCQF level 5),Economics,2020,1,0.003,309,U
National 5 (SCQF level 5),Engineering Science,2020,845,0.515,"1,641",A
National 5 (SCQF level 5),Engineering Science,2020,1204,0.7340000000000001,"1,641",B & above
National 5 (SCQF level 5),Engineering Science,2020,1518,0.925,"1,641",C & above
National 5 (SCQF level 5),Engineering Science,2020,1597,0.973,"1,641",D & above
National 5 (SCQF level 5),Engineering Science,2020,44,0.027000000000000003,"1,641",U
National 5 (SCQF level 5),English,2020,18415,0.395,"46,656",A
National 5 (SCQF level 5),English,2020,31348,0.672,"46,656",B & above
National 5 (SCQF level 5),English,2020,42624,0.914,"46,656",C & above
National 5 (SCQF level 5),English,2020,45761,0.981,"46,656",D & above
National 5 (SCQF level 5),English,2020,895,0.019,"46,656",U
National 5 (SCQF level 5),English for Speakers of Other Languages,2020,399,0.36700000000000005,"1,088",A
National 5 (SCQF level 5),English for Speakers of Other Languages,2020,746,0.6859999999999999,"1,088",B & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2020,1017,0.935,"1,088",C & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2020,1070,0.983,"1,088",D & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2020,18,0.017,"1,088",U
National 5 (SCQF level 5),Environmental Science,2020,64,0.248,258,A
National 5 (SCQF level 5),Environmental Science,2020,128,0.496,258,B & above
National 5 (SCQF level 5),Environmental Science,2020,222,0.86,258,C & above
National 5 (SCQF level 5),Environmental Science,2020,253,0.981,258,D & above
National 5 (SCQF level 5),Environmental Science,2020,5,0.019,258,U
National 5 (SCQF level 5),Fashion and Textile Technology,2020,117,0.28300000000000003,413,A
National 5 (SCQF level 5),Fashion and Textile Technology,2020,259,0.627,413,B & above
National 5 (SCQF level 5),Fashion and Textile Technology,2020,378,0.915,413,C & above
National 5 (SCQF level 5),Fashion and Textile Technology,2020,404,0.978,413,D & above
National 5 (SCQF level 5),Fashion and Textile Technology,2020,9,0.022000000000000002,413,U
National 5 (SCQF level 5),French,2020,4643,0.599,"7,752",A
National 5 (SCQF level 5),French,2020,6141,0.792,"7,752",B & above
National 5 (SCQF level 5),French,2020,7313,0.943,"7,752",C & above
National 5 (SCQF level 5),French,2020,7655,0.987,"7,752",D & above
National 5 (SCQF level 5),French,2020,97,0.013000000000000001,"7,752",U
National 5 (SCQF level 5),Gaelic (Learners),2020,63,0.504,125,A
National 5 (SCQF level 5),Gaelic (Learners),2020,98,0.784,125,B & above
National 5 (SCQF level 5),Gaelic (Learners),2020,117,0.9359999999999999,125,C & above
National 5 (SCQF level 5),Gaelic (Learners),2020,122,0.976,125,D & above
National 5 (SCQF level 5),Gaelic (Learners),2020,3,0.024,125,U
National 5 (SCQF level 5),Gàidhlig,2020,114,0.623,183,A
National 5 (SCQF level 5),Gàidhlig,2020,150,0.82,183,B & above
National 5 (SCQF level 5),Gàidhlig,2020,180,0.9840000000000001,183,C & above
National 5 (SCQF level 5),Gàidhlig,2020,183,1,183,D & above
National 5 (SCQF level 5),Gàidhlig,2020,0,0,183,U
National 5 (SCQF level 5),Geography,2020,4154,0.428,"9,698",A
National 5 (SCQF level 5),Geography,2020,6385,0.6579999999999999,"9,698",B & above
National 5 (SCQF level 5),Geography,2020,8695,0.897,"9,698",C & above
National 5 (SCQF level 5),Geography,2020,9447,0.9740000000000001,"9,698",D & above
National 5 (SCQF level 5),Geography,2020,251,0.026000000000000002,"9,698",U
National 5 (SCQF level 5),German,2020,992,0.579,"1,712",A
National 5 (SCQF level 5),German,2020,1373,0.802,"1,712",B & above
National 5 (SCQF level 5),German,2020,1624,0.9490000000000001,"1,712",C & above
National 5 (SCQF level 5),German,2020,1692,0.988,"1,712",D & above
National 5 (SCQF level 5),German,2020,20,0.012,"1,712",U
National 5 (SCQF level 5),Graphic Communication,2020,1860,0.355,"5,246",A
National 5 (SCQF level 5),Graphic Communication,2020,3438,0.655,"5,246",B & above
National 5 (SCQF level 5),Graphic Communication,2020,4836,0.922,"5,246",C & above
National 5 (SCQF level 5),Graphic Communication,2020,5142,0.98,"5,246",D & above
National 5 (SCQF level 5),Graphic Communication,2020,104,0.02,"5,246",U
National 5 (SCQF level 5),Health and Food Technology,2020,478,0.32,"1,495",A
National 5 (SCQF level 5),Health and Food Technology,2020,950,0.635,"1,495",B & above
National 5 (SCQF level 5),Health and Food Technology,2020,1379,0.922,"1,495",C & above
National 5 (SCQF level 5),Health and Food Technology,2020,1469,0.983,"1,495",D & above
National 5 (SCQF level 5),Health and Food Technology,2020,26,0.017,"1,495",U
National 5 (SCQF level 5),History,2020,6704,0.445,"15,062",A
National 5 (SCQF level 5),History,2020,10130,0.6729999999999999,"15,062",B & above
National 5 (SCQF level 5),History,2020,13605,0.903,"15,062",C & above
National 5 (SCQF level 5),History,2020,14679,0.975,"15,062",D & above
National 5 (SCQF level 5),History,2020,383,0.025,"15,062",U
National 5 (SCQF level 5),Italian,2020,162,0.579,280,A
National 5 (SCQF level 5),Italian,2020,215,0.768,280,B & above
National 5 (SCQF level 5),Italian,2020,264,0.943,280,C & above
National 5 (SCQF level 5),Italian,2020,277,0.9890000000000001,280,D & above
National 5 (SCQF level 5),Italian,2020,3,0.011000000000000001,280,U
National 5 (SCQF level 5),Latin,2020,346,0.892,388,A
National 5 (SCQF level 5),Latin,2020,376,0.9690000000000001,388,B & above
National 5 (SCQF level 5),Latin,2020,383,0.987,388,C & above
National 5 (SCQF level 5),Latin,2020,388,1,388,D & above
National 5 (SCQF level 5),Latin,2020,0,0,388,U
National 5 (SCQF level 5),Mathematics,2020,15179,0.368,"41,284",A
National 5 (SCQF level 5),Mathematics,2020,23501,0.569,"41,284",B & above
National 5 (SCQF level 5),Mathematics,2020,32669,0.7909999999999999,"41,284",C & above
National 5 (SCQF level 5),Mathematics,2020,36797,0.8909999999999999,"41,284",D & above
National 5 (SCQF level 5),Mathematics,2020,4487,0.109,"41,284",U
National 5 (SCQF level 5),Media,2020,387,0.39899999999999997,971,A
National 5 (SCQF level 5),Media,2020,633,0.652,971,B & above
National 5 (SCQF level 5),Media,2020,891,0.9179999999999999,971,C & above
National 5 (SCQF level 5),Media,2020,951,0.9790000000000001,971,D & above
National 5 (SCQF level 5),Media,2020,20,0.021,971,U
National 5 (SCQF level 5),Modern Studies,2020,4995,0.41,"12,192",A
National 5 (SCQF level 5),Modern Studies,2020,7922,0.65,"12,192",B & above
National 5 (SCQF level 5),Modern Studies,2020,10860,0.8909999999999999,"12,192",C & above
National 5 (SCQF level 5),Modern Studies,2020,11812,0.9690000000000001,"12,192",D & above
National 5 (SCQF level 5),Modern Studies,2020,380,0.031,"12,192",U
National 5 (SCQF level 5),Music,2020,4619,0.605,"7,633",A
National 5 (SCQF level 5),Music,2020,6478,0.8490000000000001,"7,633",B & above
National 5 (SCQF level 5),Music,2020,7428,0.973,"7,633",C & above
National 5 (SCQF level 5),Music,2020,7586,0.9940000000000001,"7,633",D & above
National 5 (SCQF level 5),Music,2020,47,0.006,"7,633",U
National 5 (SCQF level 5),Music Technology,2020,542,0.46299999999999997,"1,170",A
National 5 (SCQF level 5),Music Technology,2020,895,0.765,"1,170",B & above
National 5 (SCQF level 5),Music Technology,2020,1112,0.95,"1,170",C & above
National 5 (SCQF level 5),Music Technology,2020,1154,0.986,"1,170",D & above
National 5 (SCQF level 5),Music Technology,2020,16,0.013999999999999999,"1,170",U
National 5 (SCQF level 5),Philosophy,2020,122,0.41200000000000003,296,A
National 5 (SCQF level 5),Philosophy,2020,187,0.632,296,B & above
National 5 (SCQF level 5),Philosophy,2020,253,0.855,296,C & above
National 5 (SCQF level 5),Philosophy,2020,285,0.963,296,D & above
National 5 (SCQF level 5),Philosophy,2020,11,0.037000000000000005,296,U
National 5 (SCQF level 5),Physical Education,2020,10296,0.599,"17,194",A
National 5 (SCQF level 5),Physical Education,2020,14704,0.855,"17,194",B & above
National 5 (SCQF level 5),Physical Education,2020,16823,0.978,"17,194",C & above
National 5 (SCQF level 5),Physical Education,2020,17143,0.997,"17,194",D & above
National 5 (SCQF level 5),Physical Education,2020,51,0.003,"17,194",U
National 5 (SCQF level 5),Physics,2020,5507,0.40299999999999997,"13,655",A
National 5 (SCQF level 5),Physics,2020,8702,0.637,"13,655",B & above
National 5 (SCQF level 5),Physics,2020,11739,0.86,"13,655",C & above
National 5 (SCQF level 5),Physics,2020,12998,0.9520000000000001,"13,655",D & above
National 5 (SCQF level 5),Physics,2020,657,0.048,"13,655",U
National 5 (SCQF level 5),Practical Cake Craft,2020,435,0.33799999999999997,"1,287",A
National 5 (SCQF level 5),Practical Cake Craft,2020,853,0.6629999999999999,"1,287",B & above
National 5 (SCQF level 5),Practical Cake Craft,2020,1196,0.929,"1,287",C & above
National 5 (SCQF level 5),Practical Cake Craft,2020,1258,0.977,"1,287",D & above
National 5 (SCQF level 5),Practical Cake Craft,2020,29,0.023,"1,287",U
National 5 (SCQF level 5),Practical Cookery,2020,2055,0.365,"5,628",A
National 5 (SCQF level 5),Practical Cookery,2020,3954,0.703,"5,628",B & above
National 5 (SCQF level 5),Practical Cookery,2020,5345,0.95,"5,628",C & above
National 5 (SCQF level 5),Practical Cookery,2020,5575,0.991,"5,628",D & above
National 5 (SCQF level 5),Practical Cookery,2020,53,0.009000000000000001,"5,628",U
National 5 (SCQF level 5),Practical Electronics,2020,120,0.287,418,A
National 5 (SCQF level 5),Practical Electronics,2020,250,0.598,418,B & above
National 5 (SCQF level 5),Practical Electronics,2020,360,0.861,418,C & above
National 5 (SCQF level 5),Practical Electronics,2020,399,0.955,418,D & above
National 5 (SCQF level 5),Practical Electronics,2020,19,0.045,418,U
National 5 (SCQF level 5),Practical Metalworking,2020,581,0.424,"1,371",A
National 5 (SCQF level 5),Practical Metalworking,2020,973,0.71,"1,371",B & above
National 5 (SCQF level 5),Practical Metalworking,2020,1291,0.9420000000000001,"1,371",C & above
National 5 (SCQF level 5),Practical Metalworking,2020,1349,0.9840000000000001,"1,371",D & above
National 5 (SCQF level 5),Practical Metalworking,2020,22,0.016,"1,371",U
National 5 (SCQF level 5),Practical Woodworking,2020,2459,0.409,"6,005",A
National 5 (SCQF level 5),Practical Woodworking,2020,4309,0.718,"6,005",B & above
National 5 (SCQF level 5),Practical Woodworking,2020,5658,0.9420000000000001,"6,005",C & above
National 5 (SCQF level 5),Practical Woodworking,2020,5892,0.981,"6,005",D & above
National 5 (SCQF level 5),Practical Woodworking,2020,113,0.019,"6,005",U
National 5 (SCQF level 5),Psychology,2020,370,0.41600000000000004,890,A
National 5 (SCQF level 5),Psychology,2020,603,0.6779999999999999,890,B & above
National 5 (SCQF level 5),Psychology,2020,790,0.888,890,C & above
National 5 (SCQF level 5),Psychology,2020,847,0.9520000000000001,890,D & above
National 5 (SCQF level 5),Psychology,2020,43,0.048,890,U
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2020,977,0.42,"2,326",A
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2020,1529,0.657,"2,326",B & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2020,2098,0.902,"2,326",C & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2020,2264,0.973,"2,326",D & above
