Qualification,Subject,Year,n,pc,Number of entries,Grade threshold
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2020,174,0.9670000000000001,180,C & above
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2020,180,1,180,D & above
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2020,0,0,180,U
Advanced highers (SCQF level 7),Spanish,2020,250,0.539,464,A
Advanced highers (SCQF level 7),Spanish,2020,374,0.8059999999999999,464,B & above
Advanced highers (SCQF level 7),Spanish,2020,450,0.97,464,C & above
Advanced highers (SCQF level 7),Spanish,2020,461,0.9940000000000001,464,D & above
Advanced highers (SCQF level 7),Spanish,2020,3,0.006,464,U
Advanced highers (SCQF level 7),Statistics,2020,98,0.536,183,A
Advanced highers (SCQF level 7),Statistics,2020,140,0.765,183,B & above
Advanced highers (SCQF level 7),Statistics,2020,164,0.8959999999999999,183,C & above
Advanced highers (SCQF level 7),Statistics,2020,176,0.9620000000000001,183,D & above
Advanced highers (SCQF level 7),Statistics,2020,7,0.038,183,U
Advanced highers (SCQF level 7),All subjects,2020,10919,0.46299999999999997,"23,570",A
Advanced highers (SCQF level 7),All subjects,2020,17469,0.741,"23,570",B & above
Advanced highers (SCQF level 7),All subjects,2020,21935,0.9309999999999999,"23,570",C & above
Advanced highers (SCQF level 7),All subjects,2020,23023,0.977,"23,570",D & above
Advanced highers (SCQF level 7),All subjects,2020,547,0.023,"23,570",U
Highers (SCQF level 6),Accounting,2021,787,0.589,"1,336",A
Highers (SCQF level 6),Accounting,2021,1058,0.792,"1,336",B & above
Highers (SCQF level 6),Accounting,2021,1213,0.9079999999999999,"1,336",C & above
Highers (SCQF level 6),Accounting,2021,1276,0.955,"1,336",D & above
Highers (SCQF level 6),Accounting,2021,60,0.045,"1,336",U
Highers (SCQF level 6),Administration and IT,2021,2124,0.48700000000000004,"4,360",A
Highers (SCQF level 6),Administration and IT,2021,3221,0.7390000000000001,"4,360",B & above
Highers (SCQF level 6),Administration and IT,2021,3963,0.909,"4,360",C & above
Highers (SCQF level 6),Administration and IT,2021,4232,0.971,"4,360",D & above
Highers (SCQF level 6),Administration and IT,2021,128,0.028999999999999998,"4,360",U
Highers (SCQF level 6),Art and Design,2021,2760,0.483,"5,710",A
Highers (SCQF level 6),Art and Design,2021,4383,0.768,"5,710",B & above
Highers (SCQF level 6),Art and Design,2021,5425,0.95,"5,710",C & above
Highers (SCQF level 6),Art and Design,2021,5625,0.985,"5,710",D & above
Highers (SCQF level 6),Art and Design,2021,85,0.015,"5,710",U
Highers (SCQF level 6),Biology,2021,2750,0.37200000000000005,"7,388",A
Highers (SCQF level 6),Biology,2021,4307,0.583,"7,388",B & above
Highers (SCQF level 6),Biology,2021,5775,0.782,"7,388",C & above
Highers (SCQF level 6),Biology,2021,6634,0.898,"7,388",D & above
Highers (SCQF level 6),Biology,2021,754,0.102,"7,388",U
Highers (SCQF level 6),Business Management,2021,4390,0.5,"8,777",A
Highers (SCQF level 6),Business Management,2021,6313,0.7190000000000001,"8,777",B & above
Highers (SCQF level 6),Business Management,2021,7708,0.878,"8,777",C & above
Highers (SCQF level 6),Business Management,2021,8276,0.943,"8,777",D & above
Highers (SCQF level 6),Business Management,2021,501,0.057,"8,777",U
Highers (SCQF level 6),Care,2021,106,0.292,363,A
Highers (SCQF level 6),Care,2021,192,0.529,363,B & above
Highers (SCQF level 6),Care,2021,282,0.777,363,C & above
Highers (SCQF level 6),Care,2021,310,0.8540000000000001,363,D & above
Highers (SCQF level 6),Care,2021,53,0.146,363,U
Highers (SCQF level 6),Chemistry,2021,4265,0.434,"9,833",A
Highers (SCQF level 6),Chemistry,2021,6220,0.633,"9,833",B & above
Highers (SCQF level 6),Chemistry,2021,8011,0.815,"9,833",C & above
Highers (SCQF level 6),Chemistry,2021,9037,0.919,"9,833",D & above
Highers (SCQF level 6),Chemistry,2021,796,0.081,"9,833",U
Highers (SCQF level 6),Childcare and Development,2021,107,0.355,301,A
Highers (SCQF level 6),Childcare and Development,2021,187,0.621,301,B & above
Highers (SCQF level 6),Childcare and Development,2021,249,0.8270000000000001,301,C & above
Highers (SCQF level 6),Childcare and Development,2021,274,0.91,301,D & above
Highers (SCQF level 6),Childcare and Development,2021,27,0.09,301,U
Highers (SCQF level 6),Chinese Languages,2021,155,0.9059999999999999,171,A
Highers (SCQF level 6),Chinese Languages,2021,165,0.965,171,B & above
Highers (SCQF level 6),Chinese Languages,2021,168,0.982,171,C & above
Highers (SCQF level 6),Chinese Languages,2021,171,1,171,D & above
Highers (SCQF level 6),Chinese Languages,2021,0,0,171,U
Highers (SCQF level 6),Classical Studies,2021,303,0.5529999999999999,548,A
Highers (SCQF level 6),Classical Studies,2021,420,0.7659999999999999,548,B & above
Highers (SCQF level 6),Classical Studies,2021,499,0.9109999999999999,548,C & above
Highers (SCQF level 6),Classical Studies,2021,536,0.978,548,D & above
Highers (SCQF level 6),Classical Studies,2021,12,0.022000000000000002,548,U
Highers (SCQF level 6),Computing Science,2021,1658,0.491,"3,377",A
Highers (SCQF level 6),Computing Science,2021,2330,0.69,"3,377",B & above
Highers (SCQF level 6),Computing Science,2021,2911,0.862,"3,377",C & above
Highers (SCQF level 6),Computing Science,2021,3180,0.9420000000000001,"3,377",D & above
Highers (SCQF level 6),Computing Science,2021,197,0.057999999999999996,"3,377",U
Highers (SCQF level 6),Dance,2021,300,0.606,495,A
Highers (SCQF level 6),Dance,2021,411,0.83,495,B & above
Highers (SCQF level 6),Dance,2021,476,0.9620000000000001,495,C & above
Highers (SCQF level 6),Dance,2021,489,0.988,495,D & above
Highers (SCQF level 6),Dance,2021,6,0.012,495,U
Highers (SCQF level 6),Design and Manufacture,2021,692,0.302,"2,293",A
Highers (SCQF level 6),Design and Manufacture,2021,1304,0.569,"2,293",B & above
Highers (SCQF level 6),Design and Manufacture,2021,1863,0.812,"2,293",C & above
Highers (SCQF level 6),Design and Manufacture,2021,2122,0.925,"2,293",D & above
Highers (SCQF level 6),Design and Manufacture,2021,171,0.075,"2,293",U
Highers (SCQF level 6),Drama,2021,1671,0.561,"2,977",A
Highers (SCQF level 6),Drama,2021,2338,0.785,"2,977",B & above
Highers (SCQF level 6),Drama,2021,2809,0.9440000000000001,"2,977",C & above
Highers (SCQF level 6),Drama,2021,2933,0.985,"2,977",D & above
Highers (SCQF level 6),Drama,2021,44,0.015,"2,977",U
Highers (SCQF level 6),Economics,2021,383,0.628,610,A
Highers (SCQF level 6),Economics,2021,497,0.815,610,B & above
Highers (SCQF level 6),Economics,2021,563,0.9229999999999999,610,C & above
Highers (SCQF level 6),Economics,2021,582,0.9540000000000001,610,D & above
Highers (SCQF level 6),Economics,2021,28,0.046,610,U
Highers (SCQF level 6),Engineering Science,2021,475,0.401,"1,184",A
Highers (SCQF level 6),Engineering Science,2021,739,0.624,"1,184",B & above
Highers (SCQF level 6),Engineering Science,2021,986,0.833,"1,184",C & above
Highers (SCQF level 6),Engineering Science,2021,1106,0.934,"1,184",D & above
Highers (SCQF level 6),Engineering Science,2021,78,0.066,"1,184",U
Highers (SCQF level 6),English,2021,15421,0.42200000000000004,"36,534",A
Highers (SCQF level 6),English,2021,24510,0.6709999999999999,"36,534",B & above
Highers (SCQF level 6),English,2021,32210,0.882,"36,534",C & above
Highers (SCQF level 6),English,2021,35098,0.961,"36,534",D & above
Highers (SCQF level 6),English,2021,1436,0.039,"36,534",U
Highers (SCQF level 6),English for Speakers of Other Languages,2021,417,0.57,732,A
Highers (SCQF level 6),English for Speakers of Other Languages,2021,610,0.833,732,B & above
Highers (SCQF level 6),English for Speakers of Other Languages,2021,710,0.97,732,C & above
Highers (SCQF level 6),English for Speakers of Other Languages,2021,727,0.993,732,D & above
Highers (SCQF level 6),English for Speakers of Other Languages,2021,5,0.006999999999999999,732,U
Highers (SCQF level 6),Environmental Science,2021,180,0.35,515,A
Highers (SCQF level 6),Environmental Science,2021,310,0.602,515,B & above
Highers (SCQF level 6),Environmental Science,2021,414,0.804,515,C & above
Highers (SCQF level 6),Environmental Science,2021,464,0.9009999999999999,515,D & above
Highers (SCQF level 6),Environmental Science,2021,51,0.099,515,U
Highers (SCQF level 6),Fashion and Textile Technology,2021,131,0.512,256,A
Highers (SCQF level 6),Fashion and Textile Technology,2021,195,0.762,256,B & above
Highers (SCQF level 6),Fashion and Textile Technology,2021,242,0.945,256,C & above
Highers (SCQF level 6),Fashion and Textile Technology,2021,252,0.9840000000000001,256,D & above
Highers (SCQF level 6),Fashion and Textile Technology,2021,4,0.016,256,U
Highers (SCQF level 6),French,2021,2142,0.675,"3,175",A
Highers (SCQF level 6),French,2021,2692,0.848,"3,175",B & above
Highers (SCQF level 6),French,2021,3016,0.95,"3,175",C & above
Highers (SCQF level 6),French,2021,3122,0.983,"3,175",D & above
Highers (SCQF level 6),French,2021,53,0.017,"3,175",U
Highers (SCQF level 6),Gàidhlig,2021,63,0.534,118,A
Highers (SCQF level 6),Gàidhlig,2021,96,0.8140000000000001,118,B & above
Highers (SCQF level 6),Gàidhlig,2021,114,0.966,118,C & above
Highers (SCQF level 6),Gàidhlig,2021,117,0.992,118,D & above
Highers (SCQF level 6),Gàidhlig,2021,1,0.008,118,U
Highers (SCQF level 6),Geography,2021,4077,0.5720000000000001,"7,130",A
Highers (SCQF level 6),Geography,2021,5376,0.754,"7,130",B & above
Highers (SCQF level 6),Geography,2021,6366,0.893,"7,130",C & above
Highers (SCQF level 6),Geography,2021,6825,0.9570000000000001,"7,130",D & above
Highers (SCQF level 6),Geography,2021,305,0.043,"7,130",U
Highers (SCQF level 6),German,2021,510,0.713,715,A
Highers (SCQF level 6),German,2021,618,0.8640000000000001,715,B & above
Highers (SCQF level 6),German,2021,692,0.968,715,C & above
Highers (SCQF level 6),German,2021,703,0.983,715,D & above
Highers (SCQF level 6),German,2021,12,0.017,715,U
Highers (SCQF level 6),Graphic Communication,2021,1474,0.439,"3,359",A
Highers (SCQF level 6),Graphic Communication,2021,2391,0.7120000000000001,"3,359",B & above
Highers (SCQF level 6),Graphic Communication,2021,3066,0.9129999999999999,"3,359",C & above
Highers (SCQF level 6),Graphic Communication,2021,3264,0.972,"3,359",D & above
Highers (SCQF level 6),Graphic Communication,2021,95,0.027999999999999997,"3,359",U
Highers (SCQF level 6),Health and Food Technology,2021,668,0.465,"1,437",A
Highers (SCQF level 6),Health and Food Technology,2021,1020,0.71,"1,437",B & above
Highers (SCQF level 6),Health and Food Technology,2021,1283,0.893,"1,437",C & above
Highers (SCQF level 6),Health and Food Technology,2021,1379,0.96,"1,437",D & above
Highers (SCQF level 6),Health and Food Technology,2021,58,0.04,"1,437",U
Highers (SCQF level 6),History,2021,5386,0.511,"10,539",A
Highers (SCQF level 6),History,2021,7617,0.723,"10,539",B & above
Highers (SCQF level 6),History,2021,9371,0.889,"10,539",C & above
Highers (SCQF level 6),History,2021,10022,0.951,"10,539",D & above
Highers (SCQF level 6),History,2021,517,0.049,"10,539",U
Highers (SCQF level 6),Human Biology,2021,2472,0.327,"7,549",A
Highers (SCQF level 6),Human Biology,2021,4073,0.54,"7,549",B & above
Highers (SCQF level 6),Human Biology,2021,5781,0.7659999999999999,"7,549",C & above
Highers (SCQF level 6),Human Biology,2021,6704,0.888,"7,549",D & above
Highers (SCQF level 6),Human Biology,2021,845,0.11199999999999999,"7,549",U
Highers (SCQF level 6),Italian,2021,146,0.8109999999999999,180,A
Highers (SCQF level 6),Italian,2021,163,0.9059999999999999,180,B & above
Highers (SCQF level 6),Italian,2021,171,0.95,180,C & above
Highers (SCQF level 6),Italian,2021,174,0.9670000000000001,180,D & above
